Uid,Vehicle id,Data date,Year,Make,Model,Model fr,Local version name,Trim,Manufacturer code,Msrp,Evox
744758315,744758320150130,2015-01-30,2015,Hyundai,Accent Hatchback,Accent Hatchback,LE 6AT,LE,AC45AF16BA32,15999.00,10139 | 2015 Hyundai Accent GS
744758415,744758420150130,2015-01-30,2015,Hyundai,Accent Sedan,Accent Berline,LE 6AT,LE,AC44AF16BA32,15649.00,10068 | 2015 Hyundai Accent GLS
788873516,788873520150301,2015-03-01,2016,Hyundai,Equus,Equus,Signature,Signature,EQ14AR50BX00,63900.00,10471 | 2016 Hyundai Equus Signature
788873616,788873620150301,2015-03-01,2016,Hyundai,Equus,Equus,Ultimate,Ultimate,EQ14AR50BX20,71000.00,10471 | 2016 Hyundai Equus Signature
16058014,16058020140501,2014-05-01,2014,Hyundai,Accent Sedan,Accent Berline,L 6MT,L,AC44MF16BA00,13549.00,9486 | 2014 Hyundai Accent GLS
16352914,16352920140501,2014-05-01,2014,Hyundai,Elantra Sedan,Elantra Berline,L 6MT,L,EL54MF18AA00,15999.00,9565 | 2014 Hyundai Elantra Limited
50714514,50714520140501,2014-05-01,2014,Hyundai,Santa Fe Sport,Santa Fe Sport,Premium 2.0T AWD,Premium,SA3SAA20DE10,32799.00,9257 | 2014 Hyundai Santa Fe Sport 2.0T
50728314,50728320140501,2014-05-01,2014,Hyundai,Elantra Sedan,Elantra Berline,GL 6MT,GL,EL54MF18AB00,18449.00,9565 | 2014 Hyundai Elantra Limited
50738714,50738720140501,2014-05-01,2014,Hyundai,Santa Fe Sport,Santa Fe Sport,2.4 I4 FWD,-,SA3SAF24BX00,26799.00,9257 | 2014 Hyundai Santa Fe Sport 2.0T
79803814,79803820140501,2014-05-01,2014,Hyundai,Elantra Sedan,Elantra Berline,GLS 6AT,GLS,EL54AF18AC00,21599.00,9547 | 2014 Hyundai Elantra SE
79805314,79805320140501,2014-05-01,2014,Hyundai,Tucson,Tucson,GLS AWD 6AT,GLS,TU2SAA24BC00,28899.00,9503 | 2014 Hyundai Tucson GLS
79805315,79805320140627,2014-06-27,2015,Hyundai,Tucson,Tucson,GLS AWD 6AT,GLS,TU2SAA24BC00,29449.00,10105 | 2015 Hyundai Tucson GLS
79805414,79805420140501,2014-05-01,2014,Hyundai,Tucson,Tucson,GLS FWD 6AT,GLS,TU2SAF24BC00,26899.00,9503 | 2014 Hyundai Tucson GLS
79805415,79805420140627,2014-06-27,2015,Hyundai,Tucson,Tucson,GLS FWD 6AT,GLS,TU2SAF24BC00,27449.00,10105 | 2015 Hyundai Tucson GLS
79805514,79805520140501,2014-05-01,2014,Hyundai,Tucson,Tucson,GL FWD 6AT,GL,TU2SAF20BB00,23749.00,9503 | 2014 Hyundai Tucson GLS
79805515,79805520140627,2014-06-27,2015,Hyundai,Tucson,Tucson,GL FWD 6AT,GL,TU2SAF20BB00,23999.00,10105 | 2015 Hyundai Tucson GLS
701903514,701903520140501,2014-05-01,2014,Hyundai,Accent Hatchback,Accent Hatchback,GLS 6AT,GLS,AC45AF16BC00,19149.00,9546 | 2014 Hyundai Accent GS
701903614,701903620140501,2014-05-01,2014,Hyundai,Accent Hatchback,Accent Hatchback,GLS 6MT,GLS,AC45MF16BC00,17899.00,9546 | 2014 Hyundai Accent GS
701903714,701903720140501,2014-05-01,2014,Hyundai,Accent Hatchback,Accent Hatchback,GL 6AT,GL,AC45AF16BB00,17549.00,9546 | 2014 Hyundai Accent GS
701903814,701903820140501,2014-05-01,2014,Hyundai,Accent Hatchback,Accent Hatchback,GL 6MT,GL,AC45MF16BB00,16299.00,9546 | 2014 Hyundai Accent GS
701904014,701904020140501,2014-05-01,2014,Hyundai,Accent Hatchback,Accent Hatchback,L 6MT,L,AC45MF16BA00,13899.00,9546 | 2014 Hyundai Accent GS
704025414,704025420140501,2014-05-01,2014,Hyundai,Veloster,Veloster,1.6 6MT,-,VE13MF16BX00,19849.00,9540 | 2014 Hyundai Veloster Turbo
704026114,704026120140501,2014-05-01,2014,Hyundai,Veloster,Veloster,1.6 Tech EcoShift Dual Clutch,Tech,VE13DF16BX55,25199.00,9540 | 2014 Hyundai Veloster Turbo
704026214,704026220140501,2014-05-01,2014,Hyundai,Veloster,Veloster,1.6 Tech 6MT,Tech,VE13MF16BX55,23799.00,9540 | 2014 Hyundai Veloster Turbo
704026314,704026320140501,2014-05-01,2014,Hyundai,Veloster,Veloster,1.6 EcoShift Dual Clutch,-,VE13DF16BX00,21249.00,9540 | 2014 Hyundai Veloster Turbo
